image_id,from Dataset,Visual inspection
ISIC_0000049,train,
ISIC_0000052,train,
ISIC_0000055,train,
ISIC_0000063,train,
ISIC_0000160,train,Ignore
ISIC_0000188,train,Ignore
ISIC_0000189,train,
ISIC_0000190,train,Ignore
ISIC_0000202,train,
ISIC_0000203,train,Ignore
ISIC_0000205,train,
ISIC_0000207,train,Ignore
ISIC_0000208,train,Ignore
ISIC_0000209,train,
ISIC_0000215,train,Ignore
ISIC_0000217,train,Ignore
ISIC_0000224,train,Ignore
ISIC_0000233,train,
ISIC_0000235,train,Ignore
ISIC_0000258,train,
ISIC_0000259,train,Ignore
ISIC_0000282,train,Ignore
ISIC_0000285,train,Ignore
ISIC_0000288,train,Ignore
ISIC_0000289,train,Ignore
ISIC_0000293,train,Ignore
ISIC_0000294,train,Ignore
ISIC_0000295,train,
ISIC_0000299,train,Ignore
ISIC_0000301,train,Ignore
ISIC_0000302,train,Ignore
ISIC_0000303,train,Ignore
ISIC_0000307,train,Ignore
ISIC_0000310,train,
ISIC_0000321,train,
ISIC_0000354,train,
ISIC_0000368,train,
ISIC_0000408,train,
ISIC_0000426,train,
ISIC_0000433,train,Ignore
ISIC_0000478,train,
ISIC_0000481,train,
ISIC_0000485,train,
ISIC_0000517,train,Ignore
ISIC_0009896,train,Ignore
ISIC_0009897,train,
ISIC_0009962,train,
ISIC_0010005,train,
ISIC_0010022,train,
ISIC_0010051,train,Ignore
ISIC_0010057,train,Ignore
ISIC_0010062,train,
ISIC_0010063,train,Ignore
ISIC_0010075,train,Ignore
ISIC_0010093,train,Ignore
ISIC_0010202,train,Ignore
ISIC_0010213,train,
ISIC_0010222,train,Ignore
ISIC_0010231,train,
ISIC_0010257,train,
ISIC_0010267,train,Ignore
ISIC_0010320,train,
ISIC_0010329,train,Ignore
ISIC_0010348,train,Ignore
ISIC_0010382,train,Ignore
ISIC_0010448,train,Ignore
ISIC_0010455,train,
ISIC_0010477,train,Ignore
ISIC_0010492,train,Ignore
ISIC_0010497,train,Ignore
